Titulo,Artista,Popularidad,Generos
That’s So True,Gracie Abrams,91,['alt z']
Die With A Smile,Lady Gaga,100,"['art pop', 'dance pop', 'pop']"
Sailor Song,Gigi Perez,93,['bedroom pop']
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",87,"['hip hop', 'rap']"
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",89,"['hip hop', 'rap']"
BIRDS OF A FEATHER,Billie Eilish,97,"['art pop', 'pop']"
Who,Jimin,92,['k-pop']
Taste,Sabrina Carpenter,94,['pop']
APT.,ROSÉ,97,['k-pop']
Timeless (with Playboi Carti),The Weeknd,92,"['canadian contemporary r&b', 'canadian pop', 'pop']"
"Good Luck, Babe!",Chappell Roan,94,['indie pop']
WILDFLOWER,Billie Eilish,92,"['art pop', 'pop']"
See You Again (feat. Kali Uchis),"Tyler, The Creator",89,"['hip hop', 'rap']"
"I Love You, I'm Sorry",Gracie Abrams,90,['alt z']
Espresso,Sabrina Carpenter,88,['pop']
Like Him (feat. Lola Young),"Tyler, The Creator",85,"['hip hop', 'rap']"
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",87,"['hip hop', 'rap']"
A Bar Song (Tipsy),Shaboozey,84,"['modern country pop', 'pop rap']"
Tu Boda,Oscar Maydon,93,['corrido']
Love Somebody,Morgan Wallen,85,['contemporary country']
I Had Some Help (Feat. Morgan Wallen),Post Malone,84,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Rah Tah Tah,"Tyler, The Creator",87,"['hip hop', 'rap']"
Please Please Please,Sabrina Carpenter,87,['pop']
HOT TO GO!,Chappell Roan,89,['indie pop']
Beautiful Things,Benson Boone,89,['singer-songwriter pop']
No One Noticed,The Marías,83,"['bedroom pop', 'la indie']"
Bed Chem,Sabrina Carpenter,91,['pop']
Pink Pony Club,Chappell Roan,86,['indie pop']
Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator",85,"['hip hop', 'rap']"
Stick Season,Noah Kahan,87,"['pov: indie', 'singer-songwriter pop']"
Sweater Weather,The Neighbourhood,90,"['modern alternative rock', 'modern rock', 'pop']"
Lose Control,Teddy Swims,89,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,86,['classic oklahoma country']
NIGHTS LIKE THIS,The Kid LAROI,88,['australian hip hop']
Something in the Orange,Zach Bryan,85,['classic oklahoma country']
Pink Skies,Zach Bryan,85,['classic oklahoma country']
Not Like Us,Kendrick Lamar,88,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Noid,"Tyler, The Creator",85,"['hip hop', 'rap']"
High Road,Zach Bryan,72,['classic oklahoma country']
Juno,Sabrina Carpenter,87,['pop']
MILLION DOLLAR BABY,Tommy Richman,88,['chill abstract hip hop']
All I Want for Christmas Is You,Mariah Carey,83,"['dance pop', 'pop', 'urban contemporary']"
Pink + White,Frank Ocean,87,"['lgbtq+ hip hop', 'neo soul']"
No Pole,Don Toliver,81,['rap']
Too Sweet,Hozier,78,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']"
Heading South,Zach Bryan,83,['classic oklahoma country']
Last Christmas - Single Version,Wham!,68,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
Slow It Down,Benson Boone,87,['singer-songwriter pop']
DOS DÍAS,Tito Double P,88,['corrido']
My Love Mine All Mine,Mitski,88,"['brooklyn indie', 'pov: indie']"
