Titulo,Artista,Vistas,Likes,Comentarios,Fecha,Tags,Popularidades,Generos
"Gracie Abrams - I miss you, I’m sorry (Lyric Video)",Gracie Abrams,48018476,1272215,14226,2020-04-08T13:00:31Z,[],91,['alt z']
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",Lady Gaga,287462068,4608560,128114,2024-08-16T04:00:36Z,[],100,"['art pop', 'dance pop', 'pop']"
Sailor Song,Gigi Perez,11078749,178749,1550,2024-09-23T23:12:05Z,[],93,['bedroom pop']
GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),"Tyler, The Creator",14864892,256594,10401,2024-10-11T04:00:06Z,"['#GloRilla:', '#GloRidaz:\nInstagram:', '#GLORIOUS', '#CMGTheLabel\n\nMusic']",87,"['hip hop', 'rap']"
St. Chroma,"Tyler, The Creator",10485435,277131,14121,2024-10-28T10:02:12Z,[],89,"['hip hop', 'rap']"
"Billie Eilish, Khalid - lovely",Billie Eilish,2138326363,27467850,626681,2018-04-26T16:00:02Z,[],97,"['art pop', 'pop']"
지민 (Jimin) 'Set Me Free Pt.2' Official MV,Jimin,160154737,5271907,611995,2023-03-17T03:59:11Z,"['#지민', '#Jimin', '#Jimin_FACE']",92,['k-pop']
Sabrina Carpenter - Please Please Please (Official Video),Sabrina Carpenter,145985443,2122427,41995,2024-06-07T00:00:06Z,"['#PleasePleasePlease', '#ShortnSweet\n']",94,['pop']
ROSÉ & Bruno Mars - APT. (Official Music Video),ROSÉ,333881853,8657578,395535,2024-10-18T04:00:07Z,"['#APT', '#ROSÉ', '#BrunoMars', '#MusicVideo']",97,['k-pop']
Travis Scott - FE!N ft. Playboi Carti,The Weeknd,109090075,1829217,54966,2024-03-30T21:00:04Z,"['#PlayboiCarti', '#UTOPIA']",92,"['canadian contemporary r&b', 'canadian pop', 'pop']"
"Good Luck, Babe!",Chappell Roan,56765969,634734,4119,2024-04-04T10:02:03Z,[],94,['indie pop']
"Billie Eilish, Khalid - lovely",Billie Eilish,2138326363,27467850,626681,2018-04-26T16:00:02Z,[],92,"['art pop', 'pop']"
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"Tyler, The Creator",6461372325,44040460,2257925,2015-04-07T03:00:03Z,[],89,"['hip hop', 'rap']"
"Gracie Abrams - I miss you, I’m sorry (Lyric Video)",Gracie Abrams,48018476,1272216,14226,2020-04-08T13:00:31Z,[],90,['alt z']
Sabrina Carpenter - Espresso (Official Video),Sabrina Carpenter,232956837,2495593,51058,2024-04-12T14:00:07Z,[],88,['pop']
Like Him,"Tyler, The Creator",5786803,169034,5862,2024-10-28T10:04:44Z,[],85,"['hip hop', 'rap']"
"Darling, I","Tyler, The Creator",6952628,181418,5933,2024-10-28T10:01:40Z,[],87,"['hip hop', 'rap']"
Shaboozey - A Bar Song (Tipsy) [Official Visualizer],Shaboozey,150688842,1283579,40151,2024-04-12T04:00:36Z,"['#ABarSong', '#EMPIRE\n\n\nhttps://www.instagram.com/shaboozey/?hl=en\nhttps://www.tiktok.com/@shaboozey?lang=en\nhttps://twitter.com/shaboozeysjeans?lang=en\nhttps://www.facebook.com/ShaboozeyMusic/\n\n\n[Verse']",84,"['modern country pop', 'pop rap']"
Extssy Model,Oscar Maydon,181871659,917978,2835,2022-02-11T05:07:58Z,[],93,['corrido']
Lukas Graham - Love Someone [Official Music Video],Morgan Wallen,328611449,1908786,26585,2018-09-07T04:00:03Z,"['#LukasGraham', '#LoveSomeone', '#WeAreWarnerRecords']",85,['contemporary country']
Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video),Post Malone,121132670,925641,26658,2024-05-10T14:00:06Z,"['#MorganWallen', '#IHadSomeHelp\n\n©']",84,"['dfw rap', 'melodic rap', 'pop', 'rap']"
St. Chroma,"Tyler, The Creator",10485435,277132,14121,2024-10-28T10:02:12Z,[],87,"['hip hop', 'rap']"
Sabrina Carpenter - Espresso (Official Video),Sabrina Carpenter,232956837,2495593,51058,2024-04-12T14:00:07Z,[],87,['pop']
"Good Luck, Babe!",Chappell Roan,56765969,634734,4119,2024-04-04T10:02:03Z,[],89,['indie pop']
James Blunt - You're Beautiful (Official Music Video) [4K],Benson Boone,831267100,5052652,151286,2009-10-27T00:29:52Z,"['#YoureBeautiful', '#BackToBedlam']",89,['singer-songwriter pop']
The Marías - Baby One More Time,The Marías,25735991,1064301,7228,2019-05-28T22:30:45Z,[],83,"['bedroom pop', 'la indie']"
Sabrina Carpenter - Thumbs (Official Video),Sabrina Carpenter,259549215,3754584,101977,2017-02-10T05:00:06Z,[],91,['pop']
"Good Luck, Babe!",Chappell Roan,56765969,634734,4119,2024-04-04T10:02:03Z,[],86,['indie pop']
Thought I Was Dead,"Tyler, The Creator",5272198,131545,3756,2024-10-28T10:04:10Z,[],85,"['hip hop', 'rap']"
Stick Season,Noah Kahan,48332858,375324,1531,2022-10-13T10:04:38Z,[],87,"['pov: indie', 'singer-songwriter pop']"
The Neighbourhood - Sweater Weather (Official Video),The Neighbourhood,837694182,8531237,168387,2013-03-05T08:01:03Z,"['#SweaterWeather', '#AllIAmIsAMan', '#TooColdForYouHere', '#IndieMusic', '#Indie', '#TikTok', '#TikTokSongs', '#SweaterWeatherTikTok']",90,"['modern alternative rock', 'modern rock', 'pop']"
Russ - Losin Control (Official Video),Teddy Swims,438271515,2620630,45359,2016-02-01T18:55:54Z,[],89,[]
Something in the Orange,Zach Bryan,93490897,687447,1751,2022-04-21T10:03:41Z,[],86,['classic oklahoma country']
"The Kid LAROI, Justin Bieber - STAY (Official Video)",The Kid LAROI,961109944,11760992,278163,2021-07-09T04:00:12Z,"['#JustinBieber', '#Stay']",88,['australian hip hop']
Jelly Roll - Save Me (New Unreleased Video),Zach Bryan,275008180,2213255,92593,2020-06-16T17:39:33Z,['#SaveMe'],85,['classic oklahoma country']
Something in the Orange,Zach Bryan,93490897,687447,1751,2022-04-21T10:03:41Z,[],85,['classic oklahoma country']
"Kendrick Lamar, SZA - All The Stars",Kendrick Lamar,469959673,4139698,125787,2018-02-06T17:00:02Z,[],88,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Tyler The Creator - Yonkers,"Tyler, The Creator",150483082,1288260,167031,2011-02-10T19:54:13Z,[],85,"['hip hop', 'rap']"
Zach Bryan - Heading South,Zach Bryan,31155485,334676,11284,2019-09-07T05:08:15Z,[],72,['classic oklahoma country']
Sabrina Carpenter - Thumbs (Official Video),Sabrina Carpenter,259549215,3754584,101977,2017-02-10T05:00:06Z,[],87,['pop']
MILLION DOLLAR BABY,Tommy Richman,79264112,936884,4122,2024-06-03T10:01:04Z,[],88,['chill abstract hip hop']
Mariah Carey - All I Want For Christmas Is You (Official Video),Mariah Carey,789983373,4094473,259035,2009-11-24T06:21:35Z,"['#AllIWantForChristmasIsYou', '#OfficialMusicVideo']",83,"['dance pop', 'pop', 'urban contemporary']"
"Calvin Harris - Slide (Official Audio) ft. Frank Ocean, Migos",Frank Ocean,183963441,1273807,26766,2017-06-30T04:00:04Z,"['#Slide', '#FrankOcean', '#Migos']",87,"['lgbtq+ hip hop', 'neo soul']"
Don Toliver - No Idea [Official Music Video],Don Toliver,396125970,4132797,58605,2019-05-29T18:07:05Z,"['#NoIdea', '#OfficiaMusicVideo']",81,['rap']
Hozier - Take Me To Church,Hozier,884762481,7969205,263332,2014-03-25T14:00:03Z,[],78,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']"
Oliver Anthony - Rich Men North Of Richmond,Zach Bryan,175895379,2709855,210902,2023-08-08T23:52:50Z,[],83,['classic oklahoma country']
George Michael - Careless Whisper (Official Video),Wham!,1313898987,8707831,309317,2009-10-25T21:05:50Z,"['#CarelessWhisper', '#GeorgeMichaelOfficial', '#Wham', '#GeorgeMichaelOfficialVideo', '#GeorgeMichaelLive', '#GeorgeMichaelEssentials', '#TikTok', '#Faith', '#LastChristmas', '#GeorgeMichaelCarelessWhisper', '#CarelessWhisperTikTok', '#GeorgeMichaelTikTok\n\nLyrics\n\nI']",68,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
Benson Boone - Beautiful Things (Official Music Video),Benson Boone,375717538,3727384,81944,2024-01-18T23:00:13Z,"['#BeautifulThings', '#NewMusic', '#Pop']",87,['singer-songwriter pop']
Grupo Los de la O - Fuga Pa Cali 2 (Video Oficial),Tito Double P,132307802,560765,4262,2022-02-19T03:30:11Z,[],88,['corrido']
Mitski - Washing Machine Heart,Mitski,100133026,1700421,25657,2018-11-09T05:00:00Z,"['#WashingMachineHeart', '#BeTheCowboy']",88,"['brooklyn indie', 'pov: indie']"
